UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
AP,16,00238,Ferreira Gomes,7087
MG,31,48905,Pedra do Indaiá,4028
RS,43,14472,Pinhal Grande,4552
BA,29,13101,Ibititá,17957
PR,41,01853,Ariranha do Ivaí,2330
MG,31,69000,Tocantins,16703
BA,29,09406,Cotegipe,14409
MT,51,05200,Juscimeira,11039
MG,31,54457,Riachinho,8283
MG,31,46909,Papagaios,15398
SP,35,17703,Guará,20997
ES,32,01803,Divino de São Lourenço,4630
SP,35,47601,Santa Rosa de Viterbo,25869
MG,31,53202,Presidente Juscelino,3851
RS,43,06379,Dilermando de Aguiar,3133
PI,22,06357,Milton Brandão,6513
MG,31,54002,Raul Soares,24381
MG,31,34202,Ituiutaba,103945
RS,43,08250,Floriano Peixoto,1972
SC,42,07205,Imaruí,10752
SP,35,07902,Brotas,23641
RN,24,15008,Vila Flor,3145
MG,31,35209,Januária,68420
SP,35,42305,Redenção da Serra,3919
MT,51,07859,São Félix do Araguaia,11209
RN,24,14209,Tibau do Sul,13609
SP,35,31100,Mongaguá,53384
CE,23,03303,Cariús,18807
SC,42,03006,Caçador,76571
PR,41,02703,Barra do Jacaré,2825
SP,35,46009,Santa Branca,14601
RS,43,12104,Mata,5141
SC,42,04301,Concórdia,73206
SE,28,05901,Riachuelo,10116
BA,29,12707,Ibirapitanga,24238
AM,13,02900,Maués,61110
SP,35,36604,Paulo de Faria,8939
PB,25,02052,Bernardino Batista,3398
SP,35,29401,Mauá,457696
RN,24,08953,Rio do Fogo,10830
PB,25,01005,Araruna,20237
RS,43,14787,Ponte Preta,1717
TO,17,21208,Tocantinópolis,23130
PA,15,04950,Nova Esperança do Piriá,20727
TO,17,02554,Augustinópolis,17861
BA,29,04605,Brumado,69473
PA,15,00107,Abaetetuba,151934
RS,43,20503,Sertão,6116
RJ,33,05109,São João de Meriti,460541
MG,31,69406,Três Pontas,56879
RS,43,15008,Porto Lucena,5269
SP,35,31209,Monte Alegre do Sul,7804
MG,31,49200,Pedrinópolis,3661
CE,23,07502,Lavras da Mangabeira,31359
SE,28,03401,Japoatã,13242
PR,41,13908,Mallet,13611
PR,41,08320,Francisco Alves,6382
MG,31,66907,Serrania,7804
SC,42,09177,Jupiá,2134
RS,43,13086,Nova Pádua,2563
BA,29,00108,Abaíra,9212
MG,31,67103,Serro,21431
PI,22,04402,Gilbués,10518
AL,27,02009,Coité do Nóia,10939
GO,52,05406,Ceres,22034
PR,41,00202,Adrianópolis,6293
SP,35,11003,Castilho,20120
PR,41,28625,Alto Paraíso,3037
MG,31,12901,Caputira,9412
RN,24,09902,Pendências,14919
MG,31,59803,Santa Vitória,19520
MG,31,02803,Andrelândia,12507
BA,29,06204,Canarana,26702
MT,51,02702,Canarana,20461
GO,52,13905,Mossâmedes,4758
SP,35,45001,Salesópolis,16797
PI,22,02703,Cocal,27287
MT,51,01308,Arenápolis,9576
MA,21,06326,Maracaçumé,21063
PI,22,10938,Sussuapara,6581
AL,27,06802,Piaçabuçu,18043
PE,26,08107,João Alfredo,33217
GO,52,01108,Anápolis,370875
PB,25,15005,São Miguel de Taipu,7131
MG,31,30556,Imbé de Minas,6862
SP,35,33205,Nova Independência,3667
MG,31,40605,Materlândia,4631
MG,31,54804,Rio Acima,10026
SP,35,55802,Urânia,9141
BA,29,08101,Cocos,19449
PB,25,15708,Serra Grande,3089
PE,26,04809,Cortês,12581
SP,35,05104,Barbosa,7190
GO,52,14705,Nova América,2366
RJ,33,01009,Campos dos Goytacazes,487186
TO,17,15705,Palmeirante,5757
PR,41,02000,Assis Chateaubriand,34046
MG,31,65107,São Tomás de Aquino,7230
MG,31,42403,Moema,7487
GO,52,09804,Hidrolina,3889
SP,35,54409,Terra Roxa,9164
PA,15,01808,Breves,99080
MG,31,47956,Patis,5946
MG,31,14600,Carrancas,4103
PI,22,09559,São Braz do Piauí,4374
PR,41,17255,Nova Prata do Iguaçu,10733
RN,24,03806,Florânia,9258
CE,23,05308,Ibiapina,24739
SC,42,02305,Biguaçu,65528
BA,29,09802,Cruz das Almas,64552
SP,35,34302,Orlândia,42996
ES,32,05010,Sooretama,28509
PR,41,26207,Sapopema,6906
MG,31,63102,São José da Varginha,4770
MG,31,62559,São João do Manhuaçu,11262
PB,25,16409,Tacima,10896
RS,43,01701,Barão de Cotegipe,6759
PR,41,22404,Rolândia,64028
SP,35,48104,Santo Antônio do Jardim,6041
MG,31,25002,Ewbank da Câmara,3940
PR,41,08403,Francisco Beltrão,87491
MG,31,63805,São Miguel do Anta,7032
RS,43,12179,Mato Queimado,1789
SC,42,13351,Ponte Alta do Norte,3405
SP,35,53856,Taquarivaí,5660
MG,31,45000,Nova Ponte,14715
SP,35,50506,São Pedro do Turvo,7596
TO,17,17503,Pium,7447
MG,31,08107,Bonfim,7018
BA,29,29800,Saúde,13343
PB,25,00908,Arara,13448
RS,43,01404,Arvorezinha,10605
RJ,33,02452,Macuco,5417
SP,35,54755,Trabiju,1677
GO,52,04409,Caiapônia,18329
RJ,33,01306,Casimiro de Abreu,41167
TO,17,12454,Luzinópolis,2992
MT,51,03106,Cocalinho,5533
MG,31,37007,Ladainha,18066
MT,51,07206,Rio Branco,5028
GO,52,09291,Guaraíta,2237
AL,27,01506,Campo Grande,9678
RN,24,09407,Pau dos Ferros,30206
MG,31,29301,Iapu,10917
MT,51,06240,Nova Ubiratã,11074
BA,29,18100,Jeremoabo,41387
TO,17,20309,São Sebastião do Tocantins,4702
MG,31,08503,Botumirim,6557
RJ,33,05505,Saquarema,83750
SP,35,34401,Osasco,696382
BA,29,27002,Rio Real,41085
MA,21,04628,Governador Luiz Rocha,7668
AC,12,00401,Rio Branco,377057
MG,31,11408,Campo Florido,7783
PA,15,07953,Tailândia,100300
SP,35,18305,Guararema,28664
PR,41,12801,Joaquim Távora,11639
PB,25,15104,São Sebastião de Lagoa de Roça,11762
CE,23,04202,Crato,129662
GO,52,12600,Mairipotaba,2432
PI,22,02604,Castelo do Piauí,19410
SC,42,18400,Treze de Maio,7082
PB,25,08505,Livramento,7371
RN,24,04705,Ipanguaçu,15308
MA,21,00709,Anajatuba,27125
SP,35,06201,Bento de Abreu,2902
SC,42,03709,Canelinha,11781
BA,29,32457,Umburanas,19343
PE,26,11705,Riacho das Almas,20286
MG,31,46305,Padre Paraíso,20076
SC,42,10803,Meleiro,7056
BA,29,12202,Ibicoara,19578
MG,31,03504,Araguari,116871
ES,32,04708,São Gabriel da Palha,36858
PB,25,06707,Imaculada,11792
BA,29,32804,Utinga,19688
PR,41,07538,Entre Rios do Oeste,4357
MG,31,33709,Itatiaiuçu,10882
PI,22,00707,Anísio de Abreu,9655
SP,35,21606,Irapuru,8217
RS,43,12609,Muçum,4998
MG,31,61304,São Francisco de Sales,6188
PI,22,04709,Inhuma,15056
PI,22,10979,Tanque do Piauí,2712
MG,31,44805,Nova Lima,91069
PE,26,04502,Chã Grande,21402
RS,43,06767,Eldorado do Sul,38199
AL,27,08600,São Miguel dos Campos,61204
RS,43,21634,Três Arroios,2862
SC,42,11306,Navegantes,74964
RS,43,13060,Nova Hartz,20225
GO,52,11008,Itapirapuã,6541
RS,43,13375,Nova Santa Rita,26086
BA,29,02054,Araças,12495
PI,22,00459,Alvorada do Gurguéia,5303
MG,31,03207,Araçaí,2361
RS,43,02808,Caçapava do Sul,34644
SP,35,06003,Bauru,369368
ES,32,00805,Baixo Guandu,31633
MG,31,68309,Taquaraçu de Minas,4053
MS,50,03108,Corguinho,5622
CE,23,08807,Moraújo,8579
PE,26,05806,Frei Miguelinho,15234
AL,27,07107,Piranhas,25130
RS,43,19158,São Miguel das Missões,7742
SP,35,53708,Taquaritinga,56771
MT,51,06307,Paranatinga,21317
MA,21,11607,São Raimundo das Mangabeiras,18548
PB,25,03209,Cabedelo,66858
SP,35,55109,Tupi Paulista,15238
PB,25,16508,Taperoá,15193
BA,29,14901,Itacaré,28013
PE,26,03207,Caetés,28326
PA,15,06807,Santarém,294447
MA,21,00105,Afonso Cunha,6421
MA,21,00303,Aldeias Altas,26115
MG,31,26208,Formoso,9184
PI,22,09971,São João do Arraial,7804
GO,52,07808,Firminópolis,12783
PA,15,06161,Rio Maria,17721
MG,31,12802,Capitólio,8648
GO,52,14606,Niquelândia,45582
MA,21,01905,Bequimão,20867
PR,41,10953,Itaipulândia,10413
MG,31,66808,Serra do Salitre,11410
BA,29,00603,Aiquara,4745
RS,43,04101,Campos Borges,3524
PR,41,17602,Palmas,48339
GO,52,19357,Santa Isabel,3847
CE,23,05357,Icapuí,19554
PA,15,03903,Juruti,55179
MG,31,56007,Rio Vermelho,13523
MG,31,05004,Baldim,8061
RS,43,03202,Cacique Doble,5090
TO,17,16208,Paranã,10568
MA,21,11805,Sítio Novo,17760
GO,52,17203,Piranhas,11092
RN,24,13805,Taboleiro Grande,2542
TO,17,14880,Nova Olinda,11616
MG,31,66204,Senhora dos Remédios,10604
SP,35,44707,Sagres,2454
BA,29,24801,Piritiba,25002(2)
PA,15,02855,Curuá,13783
SP,35,50001,São Luís do Paraitinga,10735
BA,29,32101,Ubaíra,20793
MG,31,02050,Alto Caparaó,5748
PE,26,09600,Olinda,390144
SC,42,03402,Campo Belo do Sul,7237
RR,14,00175,Cantá,16516
PB,25,04009,Campina Grande,407754
AL,27,08204,São Brás,7046
PR,41,06605,Cruzeiro do Oeste,21197
MS,50,04908,Jaraguari,6940
PB,25,12101,Pombal,32739
SP,35,06508,Birigui,119536
MG,31,22306,Divinópolis,232945
RS,43,04630,Capão da Canoa,47792
RS,43,20453,Sério,2216
RN,24,13201,Senador Georgino Avelino,4373
RS,43,16972,Santa Margarida do Sul,2507
RS,43,22855,Vespasiano Corrêa,1966
MA,21,10278,Santo Amaro do Maranhão,15623
MG,31,38658,Lontra,8992
AL,27,03007,Ibateguara,15822
PA,15,02608,Colares,11721
PE,26,10905,Pesqueira,66524
SC,42,00705,Alfredo Wagner,9905
PR,41,26900,Tapira,5824
BA,29,24108,Pedrão,7486
GO,52,01306,Anicuns,21614
PE,26,07208,Ipojuca,92965
RN,24,10504,Rafael Fernandes,5078
RN,24,12708,São Pedro,6177
SC,42,07809,Irani,10202
RS,43,22558,Vanini,2094
BA,29,09208,Coronel João Sá,16951
MG,31,45505,Olímpio Noronha,2743
MG,31,27057,Fronteira dos Vales,4743
PA,15,04802,Monte Alegre,56391
AL,27,06109,Ouro Branco,11589
GO,52,11909,Jataí,97077
RS,43,08656,Garruchos,3200
MA,21,11300,São Luís,1082935
TO,17,02000,Araguaçu,8734
PR,41,16109,Moreira Sales,12664
GO,52,06503,Cromínia,3611
RS,43,16006,Rolante,20819
CE,23,10803,Pereiro,16139
MA,21,06607,Matões,33188
SP,35,01509,Alvinlândia,3182
SC,42,06801,Ibicaré,3290
PE,26,09006,Macaparana,25114
GO,52,13707,Montes Claros de Goiás,8230
AL,27,04807,Maribondo,13587
MG,31,23502,Douradoquara,1925
GO,52,15900,Palminópolis,3664
MG,31,08404,Botelhos,15323
SC,42,16701,São José do Cedro,13899
MT,51,06851,Porto Estrela,3064
CE,23,05209,Hidrolândia,20136
SC,42,05902,Gaspar,66213
BA,29,01700,Antônio Cardoso,12200
BA,29,13002,Ibitiara,16779
RN,24,09506,Pedra Grande,3392
BA,29,00504,Érico Cardoso,11405
PR,41,18105,Paranacity,11168
CE,23,00101,Abaiara,11483
MG,31,28105,Guapé,14435
PB,25,01153,Areia de Baraúnas,2137
MG,31,40506,Martinho Campos,13376
RN,24,01602,Bento Fernandes,5493
SP,35,10302,Capela do Alto,19747
SP,35,27009,Lindóia,7591
BA,29,10057,Dias d'Ávila,79401
PB,25,09057,Marcação,8475
PB,25,16300,Sumé,16872
PR,41,19152,Pinhais,128256
RJ,33,03104,Natividade,14986
PE,26,05301,Exu,31858
BA,29,19058,Lajedo do Tabocal,8862
RS,43,00307,Alecrim,6799
MT,51,06224,Nova Mutum,41178
PI,22,09955,São João da Varjota,4755
SE,28,03302,Japaratuba,18474
MG,31,50307,Piedade do Rio Grande,4703
MA,21,11508,São Mateus do Maranhão,40791
MG,31,70008,Ubaí,12466
TO,17,03826,Cachoeirinha,2266
PA,15,08126,Ulianópolis,55739
PR,41,02208,Atalaia,4002
PE,26,05400,Feira Nova,21836
PA,15,00404,Alenquer,54960
CE,23,03907,Chaval,12931
MG,31,56452,Rosário da Limeira,4553
MA,21,05401,Itapecuru Mirim,67104
SP,35,50605,São Roque,87506
SP,35,40507,Porangaba,9434
RS,43,16733,Santa Cecília do Sul,1696
MG,31,71907,Virgolândia,5638
SP,35,33403,Nova Odessa,57504
MG,31,46503,Pains,8371
PR,41,12207,Janiópolis,6005
MG,31,60207,Santo Antônio do Itambé,4066
PR,41,23105,Santa Amélia,3643
CE,23,06256,Itaitinga,38933
SP,35,48302,Santo Expedito,3035
SE,28,00670,Boquim,26856
GO,52,19100,Santa Bárbara de Goiás,6327
PR,41,04204,Campo Largo,125719
CE,23,03956,Chorozinho,19194
MA,21,05708,Lago da Pedra,49440
RN,24,13409,Serra Negra do Norte,8152
MG,31,57005,Salinas,41494
CE,23,12700,Senador Pompeu,26496
RS,43,18101,São Francisco de Assis,19437
SP,35,48708,São Bernardo do Campo,822242
MA,21,14007,Zé Doca,50806
PE,26,00203,Afrânio,19225
MS,50,05707,Naviraí,52367
BA,29,08408,Conceição do Coité,67875
MG,31,36009,Joaíma,15599
RS,43,06759,Doutor Ricardo,2074
SC,42,01273,Arabutã,4278
RS,43,04804,Carlos Barbosa,27835
RR,14,00282,Iracema,10592
MG,31,57302,Santa Bárbara do Tugúrio,4603
MG,31,38302,Leandro Ferreira,3299
PR,41,09500,Guaraqueçaba,7944
ES,32,02207,Fundão,20376
MG,31,63409,São José do Goiabal,5653
BA,29,22201,Muniz Ferreira,7650
PR,41,22909,Salto do Itararé,5179
PA,15,04109,Magalhães Barata,8298
MS,50,04106,Guia Lopes da Laguna,10063
RJ,33,02270,Japeri,100562
MG,31,58508,Santana de Pirapama,7997
AL,27,09004,Tanque d'Arca,6293
SP,35,14502,Duartina,12558
PR,41,08205,Formosa do Oeste,7214
BA,29,09901,Curaçá,35320
MA,21,03703,Cururupu,30805
PI,22,03107,Cristino Castro,10235
RS,43,15313,Quatro Irmãos,1852
PI,22,10706,Simões,14384
RS,43,20651,Silveira Martins,2484
MG,31,65404,Sapucaí-Mirim,6796
BA,29,26004,Remanso,42481
PB,25,11004,Pedra Branca,3800
TO,17,00400,Almas,7340
SE,28,06305,Santa Luzia do Itanhy,13936
MG,31,14105,Carmo de Minas,14736
MG,31,53806,Queluzito,1953
ES,32,04252,Ponto Belo,7826
RN,24,09605,Pedra Preta,2550
CE,23,04806,Granjeiro,4459
RS,43,05835,Coqueiro Baixo,1560
MG,31,28501,Guarará,3951
PB,25,16151,Sossêgo,3522
MG,31,50539,Pingo-d'Água,4832
PE,26,05004,Cupira,23909
GO,52,09705,Hidrolândia,20121
RN,24,02402,Carnaúba dos Dantas,8117
BA,29,06857,Capela do Alto Alegre,12203
RN,24,04101,Galinhos,2650
GO,52,15652,Palestina de Goiás,3507
CE,23,05407,Icó,67345
TO,17,01309,Aragominas,5887
RS,43,03400,Caiçara,5083
SP,35,26209,Juquitiba,30837
PB,25,01906,Belém,17640
SP,35,12100,Colômbia,6218
MG,31,37106,Lagamar,7797
MG,31,50505,Pimenta,8688
MG,31,14808,Carvalhos,4625
RO,11,01559,Teixeirópolis,4966
MG,31,70800,Várzea da Palma,38838
BA,29,18308,Jitaúna,12985
MT,51,02850,Castanheira,8429
PA,15,00131,Abel Figueiredo,7179
TO,17,11902,Lagoa da Confusão,12501
AM,13,04104,Tapauá,18039
PA,15,04208,Marabá,266932
RN,24,08904,Parelhas,21577
SP,35,21002,Iperó,34149
PI,22,02752,Colônia do Gurguéia,6345
MG,31,35100,Janaúba,71279
MT,51,03601,Dom Aquino,8009
PR,41,08957,Guamiranga,8552
BA,29,29750,Saubara,12311
PE,26,13008,São Bento do Una,58251
GO,52,09101,Goiatuba,34179
AM,13,01902,Itacoatiara,98503
BA,29,16302,Itapebi,10856
BA,29,01304,Andaraí,13732
PI,22,10805,Simplício Mendes,12458
SC,42,05555,Frei Rogério,2197
MG,31,04452,Aricanduva,5156
PR,41,28807,Xambrê,5986
RN,24,08003,Mossoró,291937
CE,23,13906,Uruoca,13600
GO,52,12907,Marzagão,2212
AL,27,05705,Olho d'Água das Flores,21706
PE,26,01904,Bezerros,60469
PE,26,13909,Serra Talhada,84970
PB,25,07408,Jericó,7730
SP,35,22208,Itapecerica da Serra,169103
BA,29,13705,Inhambupe,40908
PB,25,01104,Areia,22940
SC,42,17204,São Miguel do Oeste,39390
PR,41,07207,Dois Vizinhos,39500
PR,41,12900,Jundiaí do Sul,3443
MG,31,64902,São Sebastião do Rio Verde,2239
PB,25,13307,Santa Helena,5902
PR,41,03008,Boa Esperança,4438
MT,51,00250,Alta Floresta,50082
MG,31,68051,Taparuba,3199
PA,15,02509,Chaves,22821
MT,51,06232,Nova Olímpia,19218
RS,43,19125,São Martinho da Serra,3308
RS,43,09050,Glorinha,7588
CE,23,00705,Alto Santo,16927
SP,35,10005,Cândido Mota,31198
SP,35,40002,Pompéia,21526
TO,17,18204,Porto Nacional,52510
SP,35,51405,Serra Azul,13516
MG,31,50604,Piracema,6568
MG,31,24005,Ervália,18944
PR,41,17214,Nova Santa Bárbara,4190
PR,41,15754,Mauá da Serra,9874
BA,29,01957,Apuarema,7745
MG,31,35357,Japonvar,8664
MT,51,07909,Sinop,132934
SP,35,25201,Jarinu,28012
BA,29,11501,Gongogi,7961
RJ,33,03807,Paraty,40975
PI,22,05276,Jatobá do Piauí,4777
AM,13,00631,Beruri,18579
MG,31,51909,Pocrane,8889
RS,43,04713,Caraá,7918
SC,42,14151,Princesa,2891
PI,22,06696,Murici dos Portelas,8954
BA,29,15353,Itaguaçu da Bahia,14604
MA,21,03752,Davinópolis,12656
MA,21,04800,Grajaú,68458
MG,31,45208,Nova Serrana,92332
CE,23,10258,Paraipaba,32256
RS,43,16436,Saldanha Marinho,2862
SP,35,41406,Presidente Prudente,223749
PI,22,03354,Dirceu Arcoverde,6880
MA,21,05351,Itaipava do Grajaú,15817
TO,17,07009,Dianópolis,21457
MS,50,07976,Taquarussu,3570
RS,43,15107,Porto Xavier,10737
GO,52,21809,Urutaí,3154
MG,31,47600,Passa Quatro,16413
MG,31,60603,Santo Hipólito,3231
RS,43,01602,Bagé,121986
GO,52,05901,Corumbaíba,9206
MG,31,54150,Reduto,7071
RS,43,21501,Torres,37342
MG,31,50208,Piedade de Ponte Nova,4208
MA,21,08603,Pinheiro,81924
MG,31,63607,São José do Mantimento,2771
AC,12,00252,Epitaciolândia,17038
MG,31,29509,Ibiá,24946
MG,31,56502,Rubelita,6937
PB,25,14453,São José dos Ramos,5920
RS,43,06957,Entre Rios do Sul,3052
MG,31,38351,Leme do Prado,4991
RS,43,22376,Unistalda,2474
MG,31,47204,Paraguaçu,21486
MG,31,49002,Pedra Dourada,2427
PR,41,27502,Tibagi,20470
BA,29,09307,Correntina,33275
GO,52,20108,São Luís de Montes Belos,32808
PR,41,19509,Piraquara,106132
SC,42,11405,Nova Erechim,4804
PE,26,06804,Igarassu,113956
CE,23,03204,Caririaçu,26876
RJ,33,04524,Rio das Ostras,136626
MS,50,07406,Rio Verde de Mato Grosso,19515
RS,43,02378,Bom Progresso,2238
CE,23,07601,Limoeiro do Norte,58552
PA,15,02152,Canaã dos Carajás,34853
RS,43,09902,Ibiraiaras,7449
PR,41,01705,Araruna,14056
RS,43,14753,Poço das Antas,2108
TO,17,03008,Babaçulândia,10744
SC,42,11876,Paial,1607
MG,31,04106,Arceburgo,10478
MG,31,48608,Peçanha,17854
RS,43,08805,General Câmara,8668
MG,31,49952,Periquito,7081
MA,21,10203,Santa Rita,36556
GO,52,20405,São Simão,19407
BA,29,01601,Antas,19382
RR,14,00050,Alto Alegre,16053
SP,35,12209,Conchal,27345
RS,43,23408,Vila Maria,4400
SC,42,10506,Maravilha,24712
SC,42,04459,Coronel Martins,2541
PI,22,05151,Jacobina do Piauí,5671
SC,42,08401,Itapiranga,16541
MG,31,23304,Dores do Turvo,4455
PB,25,09370,Mato Grosso,2892
BA,29,17359,Jaborandi,9138
TO,17,08205,Formoso do Araguaia,18713
MG,31,08552,Brasilândia de Minas,15921
PR,41,06456,Coronel Domingos Soares,7607
PB,25,02151,Boa Vista,6986
RJ,33,00605,Bom Jesus do Itabapoana,36031
BA,29,04308,Brejões,15166
MA,21,08058,Paulino Neves,15779
PR,41,05706,Clevelândia,17311
MA,21,00501,Alto Parnaíba,10979
CE,23,06504,Itapiúna,19872
ES,32,05036,Vargem Alta,21396
CE,23,07254,Jijoca de Jericoacoara,19224
BA,29,06402,Candeal,8894
PR,41,21752,Reserva do Iguaçu,7872
PB,25,01534,Baraúna,4843
MG,31,24401,Espírito Santo do Dourado,4692
MS,50,06903,Porto Murtinho,16686
PE,26,14709,Tacaimbó,12872
SP,35,27306,Louveira,44904
AL,27,06422,Pariconha,10674
PR,41,10805,Iretama,10648
BA,29,07400,Catolândia,3695
SP,35,44806,Sales,6074
CE,23,11959,Salitre,16248
SC,42,05191,Ermo,2077
ES,32,03700,Muniz Freire,18826
MG,31,46008,Ouro Fino,33557
RS,43,05108,Caxias do Sul,479236
RS,43,13102,Nova Palma,6597
PB,25,15302,Sapé,52463
